num_poste alti massif_nivo nom_usuel lat_dg lon_dg datouvr datferm exposition_nivo pente_nivo type_nivo massif_bdclim
6073401 2288 23 ISOLA--S- 44.173667 7.134167 1990-12-14 2199-12-31 40.0 5 2 23
6073405 1912 23 ISOLA_NIVO 44.189500 7.149000 2014-07-18 2199-12-31 360.0 0 1 23
6077001 1420 23 LUCERAM-OBS 43.933333 7.366667 1953-11-01 1999-01-31 0.0 0 7 23
6077006 1443 23 PEIRA-CAVA 43.929167 7.363333 1989-08-01 2199-12-31 0.0 0 8 23
6094001 1659 22 PEONE-VALBERG 44.100000 6.933333 1951-01-01 2005-06-30 0.0 0 7 22
6094002 1784 22 PEONE 44.099667 6.930833 2002-11-01 2199-12-31 0.0 0 8 22
6094400 1630 22 VALBERG_NIVO 44.087000 6.941333 1971-12-01 2199-12-31 40.0 5 1 22
6094401 1800 22 VALBERG--S- 44.100000 6.930000 1983-12-25 2199-12-31 10.0 0 2 22
6116002 1048 27 ST-AUBAN 43.847000 6.727000 1908-01-01 2007-12-31 0.0 0 8 22
6119001 1500 22 ST-DALMAS-LE-SE 44.283333 6.850000 1931-01-01 2002-12-31 0.0 0 7 23
6120002 1140 23 ST-ETIENNE-DE-TINEE-EDF 44.255000 6.925833 1966-08-01 2199-12-31 0.0 0 7 23
6120400 1910 22 AURON_NIVO 44.215333 6.913500 1982-12-01 2199-12-31 30.0 0 1 22
6120401 2099 22 AURON--S- 44.207833 6.928667 1983-12-27 2199-12-31 360.0 15 2 22
6120402 1610 22 Auron 44.220000 6.930000 2001-08-01 2008-02-29 180.0 0 1 22
6120403 1600 23 Auron 44.250000 6.930000 1972-12-18 1982-03-21 10.0 0 1 22
6127001 994 23 ST-MARTIN-DE-VESUBIE-OBS 44.074167 7.254167 1950-03-01 2023-07-04 0.0 0 7 23
6127400 1520 23 BOREON 44.113167 7.288833 2007-12-01 2015-07-31 40.0 0 1 23
6153400 2430 23 MILLEFONTS-NIVOSE 44.118333 7.192000 2007-09-26 2199-12-31 0.0 0 3 23
6154002 1105 27 VALDEROURE 43.792333 6.734500 1987-03-01 2005-12-31 0.0 0 8 22
6163005 1554 23 TENDE-CASTERINO 44.091833 7.503500 1982-06-01 2007-12-31 0.0 0 7 23
6163400 1554 23 VAL-CASTERINO_NEIGE 44.097500 7.505833 1989-12-14 2199-12-31 20.0 0 1 23
6163401 1926 23 VAL-CASTERINO--S- 44.091167 7.495333 1990-12-13 2199-12-31 40.0 0 2 23
7105001 1215 59 ISSANLAS 44.773167 3.981667 1950-01-01 2199-12-31 0.0 20 1 99
7144400 1200 59 LOUBARESSE_NEIGE 44.599833 4.049333 1946-03-01 2199-12-31 200.0 15 1 99
7232001 1022 59 ST-ETIENNE-LUGDARES 44.651333 3.948500 1950-07-01 2199-12-31 0.0 10 1 99
9023400 1500 72 Ascou-Pailheres 42.730333 1.954000 1986-02-01 2199-12-31 270.0 0 1 72
9023401 1700 72 Ascou-Pailheres--S- 42.730000 1.950000 1988-02-09 2199-12-31 320.0 0 2 72
9024004 1781 70 ASTON 42.724167 1.691000 2002-06-01 2199-12-31 0.0 0 8 70
9029001 733 69 AULUS-LES-BAINS 42.793833 1.333833 1899-07-01 2019-01-01 0.0 0 7 69
9029400 1384 69 Guzet 42.778833 1.300833 1983-12-24 2199-12-31 320.0 0 1 69
9029401 1950 69 Guzet--S- 42.780000 1.300000 1986-01-21 2199-12-31 320.0 0 2 69
9029402 733 69 Aulus-les-Bains 42.793833 1.333833 2001-08-01 2015-06-30 360.0 0 1 69
9030014 1200 70 AUZAT-EDF 42.714167 1.490167 2007-04-01 2199-12-31 0.0 0 8 70
9032001 713 72 AX-LES-THERMES 42.718833 1.837000 1857-04-01 1987-12-31 0.0 0 7 70
9032006 720 72 AX-LES-THERMES-SPC 42.722167 1.834667 2004-08-01 2199-12-31 0.0 0 8 70
9032400 2050 70 Ax-Bonascre--S- 42.650000 1.800000 1988-02-02 2199-12-31 320.0 0 2 70
9032401 2000 70 Le-Saquet 42.700000 1.820000 1993-01-08 1995-04-14 360.0 0 1 70
9032402 1715 70 Ax-Bonascre 42.692333 1.796500 1995-12-01 2024-01-31 360.0 0 1 70
9032403 1997 70 AX-SAQUET 42.674167 1.791333 2024-01-31 2199-12-31 320.0 0 1 70
9070400 1789 70 Beille 42.724000 1.690667 1990-01-27 2199-12-31 320.0 0 1 70
9070401 1789 72 Beille--S- 42.800000 1.650000 1994-02-09 2199-12-31 310.0 0 2 70
9100004 855 69 COUFLENS-EDF 42.758500 1.189500 2007-04-01 2199-12-31 0.0 0 8 69
9122400 358 70 OCCASIONNEL-FOIX--S- 42.965333 1.607000 2021-10-04 2199-12-31 0.0 0 2 70
9135400 1468 70 Goulier 42.739500 1.513333 1999-12-20 2199-12-31 320.0 0 1 70
9135401 1500 70 Goulier--S- 42.730000 1.520000 2000-01-28 2199-12-31 320.0 0 2 70
9139001 1425 70 HOSPITALET 42.588667 1.796333 1959-01-01 2017-12-31 0.0 0 7 70
9139003 1430 70 L'HOSPITALET-EDF 42.588833 1.796333 2007-04-01 2199-12-31 0.0 0 8 70
9139400 1420 70 L-Hospitalet 42.590167 1.800333 1971-12-15 2020-06-30 40.0 0 1 70
9139401 1900 71 L-Hospitalet--S- 42.580000 1.780000 1983-12-20 2199-12-31 90.0 0 2 70
9139402 2293 72 HOSPITALET-NIVOSE 42.577167 1.810500 2009-07-29 2199-12-31 270.0 20 3 72
9140001 1600 72 LE-CHIOULA 42.755000 1.863333 2005-01-01 2026-04-19 180.0 2 1 72
9162001 2195 70 ALBEILLE-EDFNIVO 42.655833 1.514833 2003-10-10 2199-12-31 130.0 11 8 70
9182003 636 69 MASSAT-GEND 42.891000 1.347833 2006-01-01 2018-01-01 0.0 0 1 69
9193400 1530 72 Mijanes 42.726500 2.017000 1988-12-27 2199-12-31 40.0 0 1 72
9193401 1800 72 Mijanes--S- 42.730000 2.030000 1992-02-04 2199-12-31 40.0 0 2 72
9206001 760 72 MONTFERRIER 42.891833 1.781167 1992-12-01 2020-12-31 0.0 0 7 69
9206002 1500 72 MONT-D'OLMES 42.843667 1.744333 2000-01-01 2014-10-31 360.0 0 7 72
9206400 1472 72 Mont-d-Olmes 42.843833 1.744167 1984-02-01 2199-12-31 360.0 0 1 72
9206401 1870 72 Mont-d-Olmes--S- 42.850000 1.750000 1987-01-13 2199-12-31 360.0 0 2 72
9220002 908 72 ORLU-EDF 42.691667 1.910667 2007-04-01 2199-12-31 0.0 0 8 72
9220004 1940 72 LES-SONGES-EDFNIVO 42.641333 1.920667 2003-10-10 2199-12-31 280.0 6 8 72
9231400 1280 69 Etang-de-L-Hers 42.807167 1.381167 1992-12-18 2024-07-01 360.0 0 1 69
9283002 680 72 SAVIGNAC 42.728500 1.818833 1988-01-01 2018-01-02 0.0 0 1 70
9285400 2140 69 PORT-D'AULA-NIVOSE 42.770000 1.114333 1995-10-17 2199-12-31 40.0 0 3 69
9290001 735 69 SENTEIN 42.874167 0.953667 1899-07-01 1994-12-31 0.0 0 7 69
9290004 1010 69 EYLIE-D'EN-HAUT 42.835167 0.934500 1991-11-01 2017-12-31 0.0 0 7 69
9290005 870 69 SENTEIN-EDF 42.849333 0.937667 2007-04-01 2199-12-31 0.0 0 8 69
9290400 1000 69 SENTEIN-EYLIE-HAUT 42.835333 0.934667 2001-08-04 2199-12-31 180.0 0 1 69
11028001 980 75 BELCAIRE 42.819500 1.968000 1962-07-01 2199-12-31 0.0 0 8 72
11321003 1017 75 ROQUEFORT-DE-SAULT 42.745167 2.193000 1958-10-01 2016-12-31 0.0 0 7 72
15014004 632 52 AURILLAC 44.891500 2.419167 1945-08-09 2199-12-31 0.0 0 6 99
15025400 1405 52 PRAT-DE-BOUC-S- 45.077500 2.832000 2019-02-26 2199-12-31 140.0 20 2 52
15033002 1300 52 ARJALOUX-EDFNIVO 45.017167 2.840167 2002-01-09 2199-12-31 100.0 5 8 52
15050400 1420 52 LE-CLAUX-S- 45.107667 2.686167 2015-10-12 2199-12-31 360.0 30 2 52
15067002 1120 52 LE-FAU-EDFNIVO 45.098333 2.617833 2001-10-29 2199-12-31 200.0 11 8 52
15101004 1236 52 LE-LIORAN_SAPC 45.080833 2.747667 1977-11-01 2199-12-31 0.0 0 1 52
15101400 1245 52 Super-Lioran 45.080000 2.750000 1983-12-12 1990-12-29 40.0 0 1 52
15101402 1450 52 LE-LIORAN-S- 45.074500 2.745500 2015-08-25 2199-12-31 280.0 20 2 52
20004400 4 120 Enq.-aval-Ajaccio--S- 41.916667 8.800000 1998-01-16 2199-12-31 0.0 0 2 120
20004401 4 120 Occasionnel-Ajaccio--S- 41.916667 8.800000 1985-03-19 2199-12-31 0.0 0 2 120
20007400 1420 40 Vergio 42.286833 8.891667 1983-12-15 2199-12-31 240.0 0 1 40
20007402 1971 40 SPONDE-NIVOSE 42.324333 8.881667 1985-12-12 2199-12-31 270.0 10 3 40
20023400 1434 40 ASCO-STAGNU 42.402667 8.922667 1983-12-12 2199-12-31 270.0 0 1 40
20023401 1820 40 Asco--S- 42.393333 8.908667 1984-02-21 2199-12-31 270.0 20 2 40
20031001 828 41 BASTELICA-VILLAGE 41.998500 9.040500 1959-05-01 2022-04-30 0.0 0 7 41
20031400 1623 41 Bastelica 41.999333 9.123167 1986-02-06 2199-12-31 40.0 0 1 41
20031401 1650 41 Bastelica--S- 42.003000 9.132500 1986-02-06 2199-12-31 310.0 0 2 41
20040001 660 40 BOCOGNANO-GARE 42.080167 9.052500 1965-01-01 2199-12-31 0.0 0 4 41
20040003 671 40 BOCOGNANO-GARE 42.080167 9.052333 2005-10-01 2018-10-31 0.0 0 7 41
20040400 1470 41 POZZI-VIZZAVONA 42.106167 9.120167 2006-12-20 2016-04-30 360.0 26 2 41
20047001 875 40 CALACUCCIA-GEND 42.336167 9.012500 1950-06-01 2016-11-18 0.0 0 7 40
20108001 856 40 EVISA-VILLAGE 42.254000 8.803167 1952-04-01 2013-05-03 0.0 0 4 40
